Alloy
Ti50Ni30Cu32Sn3
Ti50Ni15Cu25Sn3Be7
Ti50Ni24Cu20B1Si2Sn3
Ti50Cu42.5Ni7.5
Ti47.5Zr2.5Cu42.5Ni7.5
Ti45Ni15Cu25Sn3Be7Zr5
Ti50Ni15Cu32Sn3
Ti36.08Zr22Be22.88Ni7.04Cu12
Ti36.9Zr22.5Be23.4Ni7.2Cu10
Ti55Zr10Cu9Ni8Be18
Ti37.72Zr23Be23.92Ni7.36Cu8
Ti38.13Zr23.25Be24.18Ni7.44Cu7
Ti38.54Zr23.5Be24.44Ni7.52Cu6
Ti39.36Zr24Be24.96Ni7.68Cu4
Ti50Zr15Cu9Ni8Be18
Ti40.18Zr24.5Be25.48Ni7.84Cu2
Ti45Cu37.8Zr10Ni7.2
Ti43.15Zr9.59Cu36.24Ni9.06Sn1.96
Ti41Zr25Be26Ni8
Ti44.10Zr9.80Cu37.04Ni7.06Sn2
Ti43.2Zr9.6Cu36.288Ni6.912Sn4
Ti40Zr25Cu9Ni8Be18
Ti42.3Zr9.4Cu35.532Ni6.768Sn6
